Main Serial No.,Sr. No.,College Name,College Code,Merit No,Merit Marks,Gender,Candidate Type,Category,Home University,PH Type,Defence Type,HSC Eligibility,Seat Type,Fees Paid,CAP Round,Admitted/Uploaded Late,BRANCH,NATIONALITY
4631,15,SINHGAD KONDHWA (BK),6187,38,49.39,M,TYPE A,OPEN,PUNE,NA,NA,71.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4632,16,SINHGAD KONDHWA (BK),6187,40,49.25,M,TYPE A,OBC,PUNE,NA,NA,54.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4633,17,SINHGAD KONDHWA (BK),6187,41,52.37,M,TYPE A,OBC,PUNE,NA,NA,72.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4634,18,SINHGAD KONDHWA (BK),6187,51,43.46,M,TYPE A,NT-B,SHIVAJI,NA,NA,62.33,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4635,19,SINHGAD KONDHWA (BK),6187,53,43.03,M,TYPE A,OPEN,PUNE,NA,NA,60.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4636,20,SINHGAD KONDHWA (BK),6187,71,14.49,M,TYPE A,OBC,PUNE,NA,NA,44.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4637,21,SINHGAD KONDHWA (BK),6187,79,18.98,M,OMS,OPEN,OHU,NA,NA,54,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4638,22,SINHGAD KONDHWA (BK),6187,80,14.05,M,OMS,OPEN,OHU,NA,NA,52,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4639,23,SINHGAD KONDHWA (BK),6187,96,30.92,M,TYPE A,OPEN,MUMBAI,NA,NA,63.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4640,24,SINHGAD KONDHWA (BK),6187,162,52.97,M,OMS,OPEN,OHU,NA,NA,55.33,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4641,25,SINHGAD KONDHWA (BK),6187,113,75.08,M,TYPE A,OPEN,PUNE,NA,NA,62.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4642,26,SINHGAD KONDHWA (BK),6187,115,73.38,M,TYPE A,OPEN,PUNE,NA,NA,63.33,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4643,27,SINHGAD KONDHWA (BK),6187,116,71,M,TYPE C,OPEN,PUNE,NA,NA,63.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4644,28,SINHGAD KONDHWA (BK),6187,117,68.4,M,TYPE C,OPEN,PUNE,NA,NA,67.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4645,29,SINHGAD KONDHWA (BK),6187,121,66.2,M,TYPE B,OPEN,PUNE,NA,NA,56,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4646,30,SINHGAD KONDHWA (BK),6187,125,64.2,M,TYPE A,OPEN,PUNE,NA,NA,61,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4647,31,SINHGAD KONDHWA (BK),6187,126,63.8,M,TYPE A,OPEN,PUNE,NA,NA,61.33,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4648,32,SINHGAD KONDHWA (BK),6187,127,63.02,M,TYPE A,OPEN,PUNE,NA,NA,53.7,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4649,33,SINHGAD KONDHWA (BK),6187,129,56.6,M,TYPE C,OPEN,PUNE,NA,NA,54.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4650,34,SINHGAD KONDHWA (BK),6187,131,56,M,TYPE A,OBC,PUNE,NA,NA,46.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4651,35,SINHGAD KONDHWA (BK),6187,132,54.92,M,TYPE A,OPEN,PUNE,NA,NA,51,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4652,36,SINHGAD KONDHWA (BK),6187,134,57.67,M,TYPE B,OPEN,PUNE,NA,NA,57.67,IL,94000,INSTITUTE LEVEL,NO,MECHANICAL,INDIAN
4653,1,SINHGAD KONDHWA (BK),6187,200,274475,M,J&K,NA,OHU,NA,NA,75.33,JK,24000,J&K COUNSELING,NO,MECHANICAL,J&K
4654,1,SINHGAD KONDHWA (BK),6187,2623,96.99,M,TYPE A,OPEN,PUNE,NA,NA,87.67,GOPENO,0,ROUND 1,NO,MECHANICAL,INDIAN
4655,2,SINHGAD KONDHWA (BK),6187,8531,91.45,M,TYPE A,OPEN,SHIVAJI,NA,NA,91,GOPENO,9400,ROUND 1,NO,MECHANICAL,INDIAN
4656,3,SINHGAD KONDHWA (BK),6187,10656,89.29,M,TYPE A,OPEN,PUNE,NA,NA,86.33,GOPENO,9400,ROUND 1,NO,MECHANICAL,INDIAN
4657,4,SINHGAD KONDHWA (BK),6187,10739,89.23,F,TYPE A,OBC,AMRAVATI,NA,NA,87,GOPENO,9400,ROUND 1,NO,MECHANICAL,INDIAN
4658,5,SINHGAD KONDHWA (BK),6187,10889,89.07,M,TYPE A,OPEN,BAMU,NA,NA,80,GOPENO,94000,ROUND 1,NO,MECHANICAL,INDIAN
4659,6,SINHGAD KONDHWA (BK),6187,11148,88.82,M,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,85.17,GOPENO,9400,ROUND 1,NO,MECHANICAL,INDIAN
4660,7,SINHGAD KONDHWA (BK),6187,12088,87.88,M,TYPE A,OPEN,SHIVAJI,NA,NA,91.67,GOPENO,9400,ROUND 1,NO,MECHANICAL,INDIAN
4661,8,SINHGAD KONDHWA (BK),6187,9156,90.82,M,TYPE A,OPEN,PUNE,NA,NA,75.67,GOPENO,9400,ROUND 2,NO,MECHANICAL,INDIAN
4662,9,SINHGAD KONDHWA (BK),6187,9861,90.15,M,TYPE A,OPEN,SHIVAJI,NA,NA,79.17,GOPENO,9400,ROUND 2,NO,MECHANICAL,INDIAN
4663,1,SINHGAD KONDHWA (BK),6187,16523,209277,F,TYPE A,OPEN,PUNE,NA,NA,80.33,AI,94000,ROUND 1,NO,COMPUTER,INDIAN
4664,2,SINHGAD KONDHWA (BK),6187,18268,232324,M,OMS,NA,OHU,NA,NA,94,AI,94000,ROUND 1,NO,COMPUTER,INDIAN
4665,3,SINHGAD KONDHWA (BK),6187,19487,248043,F,TYPE A,OPEN,SOLAPUR,NA,NA,87.83,AI,94000,ROUND 1,NO,COMPUTER,INDIAN
4666,4,SINHGAD KONDHWA (BK),6187,19548,248757,M,TYPE A,OPEN,BAMU,NA,NA,88.83,AI,94000,ROUND 1,NO,COMPUTER,INDIAN
4667,5,SINHGAD KONDHWA (BK),6187,20262,257958,M,OMS,NA,OHU,NA,NA,67.67,AI,94000,ROUND 1,NO,COMPUTER,INDIAN
4668,6,SINHGAD KONDHWA (BK),6187,20388,259536,M,TYPE A,OPEN,BAMU,NA,NA,60.33,AI,94000,ROUND 1,NO,COMPUTER,INDIAN
4669,7,SINHGAD KONDHWA (BK),6187,74948,40.44,M,TYPE A,NT-C,PUNE,NA,NA,55.67,GNT2H,9400,ROUND 1,NO,COMPUTER,INDIAN
4670,8,SINHGAD KONDHWA (BK),6187,42265,51.37,M,TYPE A,OBC,PUNE,NA,NA,67.17,GOBCH,47000,ROUND 1,NO,COMPUTER,INDIAN
4671,9,SINHGAD KONDHWA (BK),6187,45805,58.98,M,TYPE A,OBC,PUNE,NA,NA,64.67,GOBCH,47000,ROUND 1,NO,COMPUTER,INDIAN
4672,10,SINHGAD KONDHWA (BK),6187,48466,57.18,M,TYPE A,OBC,PUNE,NA,NA,64.17,GOBCH,47000,ROUND 1,NO,COMPUTER,INDIAN
4673,11,SINHGAD KONDHWA (BK),6187,26002,74.12,M,TYPE A,OPEN,PUNE,NA,NA,81.33,GOPENH,94000,ROUND 1,NO,COMPUTER,INDIAN
4674,12,SINHGAD KONDHWA (BK),6187,27129,73.05,M,TYPE A,OPEN,PUNE,NA,NA,68.33,GOPENH,94000,ROUND 1,NO,COMPUTER,INDIAN
4675,13,SINHGAD KONDHWA (BK),6187,29936,70.69,M,TYPE A,OPEN,PUNE,NA,NA,77.33,GOPENH,94000,ROUND 1,NO,COMPUTER,INDIAN
4676,14,SINHGAD KONDHWA (BK),6187,30894,69.88,M,TYPE A,OPEN,PUNE,NA,NA,81.67,GOPENH,94000,ROUND 1,NO,COMPUTER,INDIAN
4677,15,SINHGAD KONDHWA (BK),6187,80526,36.41,M,TYPE A,SC,PUNE,NA,NA,72.33,GSCH,9400,ROUND 1,NO,COMPUTER,INDIAN
4678,16,SINHGAD KONDHWA (BK),6187,87305,30.76,M,TYPE A,SC,PUNE,NA,NA,55.67,GSCH,9400,ROUND 1,NO,COMPUTER,INDIAN
4679,17,SINHGAD KONDHWA (BK),6187,43412,60.55,M,TYPE A,SC,BAMU,NA,NA,70,GSCO,9400,ROUND 1,NO,COMPUTER,INDIAN
4680,18,SINHGAD KONDHWA (BK),6187,51903,54.96,M,TYPE A,DT/VJ,BAMU,NA,NA,59,GVJO,9400,ROUND 1,NO,COMPUTER,INDIAN
4681,19,SINHGAD KONDHWA (BK),6187,44753,59.7,F,TYPE A,OBC,PUNE,NA,NA,64.5,LOBCH,47000,ROUND 1,NO,COMPUTER,INDIAN
4682,20,SINHGAD KONDHWA (BK),6187,47123,58.08,F,TYPE A,OBC,PUNE,NA,NA,61,LOBCH,47000,ROUND 1,NO,COMPUTER,INDIAN
4683,21,SINHGAD KONDHWA (BK),6187,28763,71.66,F,TYPE A,OPEN,PUNE,NA,NA,62.5,LOPENH,94000,ROUND 1,NO,COMPUTER,INDIAN
4684,22,SINHGAD KONDHWA (BK),6187,30102,70.55,F,TYPE A,OPEN,PUNE,NA,NA,67,LOPENH,94000,ROUND 1,NO,COMPUTER,INDIAN
4685,23,SINHGAD KONDHWA (BK),6187,23679,76.22,F,TYPE A,OPEN,MUMBAI,NA,NA,79.67,LOPENO,94000,ROUND 1,NO,COMPUTER,INDIAN
4686,24,SINHGAD KONDHWA (BK),6187,91902,25.55,M,TYPE A,SC,PUNE,NA,NA,53.33,LSCH,9400,ROUND 1,NO,COMPUTER,INDIAN
4687,25,SINHGAD KONDHWA (BK),6187,18196,231283,M,TYPE A,OPEN,AMRAVATI,NA,NA,80.83,AI,94000,ROUND 2,NO,COMPUTER,INDIAN
4688,26,SINHGAD KONDHWA (BK),6187,20098,256280,M,OMS,NA,OHU,NA,NA,89.67,AI,94000,ROUND 2,NO,COMPUTER,INDIAN
4689,27,SINHGAD KONDHWA (BK),6187,41706,61.74,M,TYPE A,OBC,PUNE,NA,NA,57.33,GOBCH,47000,ROUND 2,NO,COMPUTER,INDIAN
4690,28,SINHGAD KONDHWA (BK),6187,26244,73.91,M,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,70.67,GOBCO,47000,ROUND 2,NO,COMPUTER,INDIAN
4691,29,SINHGAD KONDHWA (BK),6187,27307,72.9,M,TYPE A,SBC,AMRAVATI,NA,NA,63.5,GOBCO,9400,ROUND 2,NO,COMPUTER,INDIAN
4692,30,SINHGAD KONDHWA (BK),6187,28472,71.91,M,TYPE A,OPEN,PUNE,NA,NA,59.17,GOPENH,94000,ROUND 2,NO,COMPUTER,INDIAN
4693,31,SINHGAD KONDHWA (BK),6187,23234,76.7,M,TYPE A,OPEN,NAGPUR,NA,NA,68.5,GOPENO,94000,ROUND 2,NO,COMPUTER,INDIAN
4694,32,SINHGAD KONDHWA (BK),6187,23771,76.16,M,TYPE A,OBC,SRTMU,NA,NA,63,GOPENO,47000,ROUND 2,NO,COMPUTER,INDIAN
4695,33,SINHGAD KONDHWA (BK),6187,45408,59.23,M,TYPE A,OBC,PUNE,NA,NA,69.33,GSTH,47000,ROUND 2,NO,COMPUTER,INDIAN
4696,34,SINHGAD KONDHWA (BK),6187,41782,61.7,M,TYPE A,SC,AMRAVATI,NA,NA,77,GSTO,9400,ROUND 2,NO,COMPUTER,INDIAN
4697,35,SINHGAD KONDHWA (BK),6187,36614,65.39,F,TYPE A,OBC,NORTH MAHARASHTRA,NA,NA,82.33,LOBCO,47000,ROUND 2,NO,COMPUTER,INDIAN
4698,36,SINHGAD KONDHWA (BK),6187,32414,68.67,F,TYPE A,OPEN,PUNE,NA,NA,74.67,LOPENH,94000,ROUND 2,NO,COMPUTER,INDIAN
4699,37,SINHGAD KONDHWA (BK),6187,32865,68.26,F,TYPE A,OPEN,PUNE,NA,NA,77,LOPENH,94000,ROUND 2,NO,COMPUTER,INDIAN
4700,38,SINHGAD KONDHWA (BK),6187,50324,55.95,M,TYPE A,OBC,PUNE,NA,NA,58.83,LVJH,94000,ROUND 2,NO,COMPUTER,INDIAN
4701,39,SINHGAD KONDHWA (BK),6187,33016,68.15,F,TYPE A,OPEN,PUNE,NA,NA,83.67,PHCH,94000,ROUND 2,NO,COMPUTER,INDIAN
4702,40,SINHGAD KONDHWA (BK),6187,58965,50.64,M,TYPE A,OPEN,BAMU,NA,NA,57,GOPEN,40000,COUNSELING ROUND,NO,COMPUTER,INDIAN
4703,41,SINHGAD KONDHWA (BK),6187,58981,50.64,M,TYPE A,OPEN,SHIVAJI,NA,NA,52.67,GOPEN,94820,COUNSELING ROUND,NO,COMPUTER,INDIAN
4704,42,SINHGAD KONDHWA (BK),6187,59594,50.25,M,TYPE A,OPEN,SRTMU,NA,NA,52,GOPEN,94820,COUNSELING ROUND,NO,COMPUTER,INDIAN
4705,43,SINHGAD KONDHWA (BK),6187,60893,49.5,M,TYPE A,OBC,PUNE,NA,NA,49,GOPEN,47820,COUNSELING ROUND,NO,COMPUTER,INDIAN
4706,44,SINHGAD KONDHWA (BK),6187,62461,48.52,F,TYPE C,OPEN,PUNE,NA,DEF3,80.67,GOPEN,94820,COUNSELING ROUND,NO,COMPUTER,INDIAN
4707,45,SINHGAD KONDHWA (BK),6187,62797,48.31,M,TYPE C,OPEN,PUNE,NA,DEF3,67.33,GOPEN,94820,COUNSELING ROUND,NO,COMPUTER,INDIAN
4708,46,SINHGAD KONDHWA (BK),6187,62855,48.29,M,TYPE A,OPEN,PUNE,NA,NA,71,GOPEN,94820,COUNSELING ROUND,NO,COMPUTER,INDIAN
4709,47,SINHGAD KONDHWA (BK),6187,63342,47.97,M,TYPE B,OPEN,SRTMU,NA,DEF3,78.33,GOPEN,94820,COUNSELING ROUND,NO,COMPUTER,INDIAN
4710,48,SINHGAD KONDHWA (BK),6187,65957,46.33,M,TYPE A,OPEN,PUNE,NA,NA,56,GOPEN,94820,COUNSELING ROUND,NO,COMPUTER,INDIAN
4711,1,SINHGAD KONDHWA (BK),6187,26,54.3,M,TYPE A,OPEN,PUNE,NA,NA,76,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4712,2,SINHGAD KONDHWA (BK),6187,31,56,M,TYPE A,OPEN,SHIVAJI,NA,NA,63,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4713,3,SINHGAD KONDHWA (BK),6187,34,51.36,M,TYPE A,OBC,PUNE,NA,NA,60,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4714,4,SINHGAD KONDHWA (BK),6187,41,48.77,F,TYPE A,OPEN,SRTMU,NA,NA,53,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4715,5,SINHGAD KONDHWA (BK),6187,61,37.1,M,TYPE A,OPEN,PUNE,NA,DEF2,63,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4716,6,SINHGAD KONDHWA (BK),6187,76,58.45,F,OMS,OPEN,OHU,NA,NA,67.67,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4717,7,SINHGAD KONDHWA (BK),6187,81,39.79,M,TYPE A,OPEN,PUNE,NA,NA,50.17,IL,0,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4718,8,SINHGAD KONDHWA (BK),6187,144,75.58,M,OMS,OPEN,OHU,NA,NA,81.33,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4719,9,SINHGAD KONDHWA (BK),6187,169,49.53,F,OMS,OPEN,OHU,NA,NA,74,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4720,10,SINHGAD KONDHWA (BK),6187,171,48.23,M,OMS,OPEN,OHU,NA,NA,57,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4721,11,SINHGAD KONDHWA (BK),6187,124,65.69,F,TYPE A,OPEN,PUNE,NA,NA,59,IL,94000,INSTITUTE LEVEL,NO,COMPUTER,INDIAN
4722,1,SINHGAD KONDHWA (BK),6187,39995,501268,M,TYPE A,OBC,MUMBAI,NA,NA,68.83,AI,47000,ROUND 1,NO,ENTC,INDIAN
4723,2,SINHGAD KONDHWA (BK),6187,41739,521645,F,TYPE A,OPEN,SRTMU,NA,NA,76.33,AI,94000,ROUND 1,NO,ENTC,INDIAN
4724,3,SINHGAD KONDHWA (BK),6187,45090,557976,M,TYPE A,OBC,SRTMU,NA,NA,67.83,AI,47000,ROUND 1,NO,ENTC,INDIAN
4725,4,SINHGAD KONDHWA (BK),6187,67384,45.42,M,TYPE A,OPEN,PUNE,NA,NA,57.67,GOPENH,94000,ROUND 1,NO,ENTC,INDIAN
4726,5,SINHGAD KONDHWA (BK),6187,77269,38.82,M,TYPE A,OPEN,PUNE,NA,NA,58,GOPENH,94000,ROUND 1,NO,ENTC,INDIAN
4727,6,SINHGAD KONDHWA (BK),6187,82509,34.94,M,TYPE A,OPEN,PUNE,NA,NA,56.33,GOPENH,94000,ROUND 1,NO,ENTC,INDIAN
4728,7,SINHGAD KONDHWA (BK),6187,42457,61.25,M,TYPE A,OPEN,BAMU,NA,NA,59.33,GOPENO,94000,ROUND 1,NO,ENTC,INDIAN
4729,8,SINHGAD KONDHWA (BK),6187,48025,57.46,M,TYPE A,OBC,AMRAVATI,NA,NA,49.17,GOPENO,47000,ROUND 1,NO,ENTC,INDIAN
4730,9,SINHGAD KONDHWA (BK),6187,48932,56.87,M,TYPE A,OPEN,BAMU,NA,NA,67.67,GOPENO,94000,ROUND 1,NO,ENTC,INDIAN
4731,10,SINHGAD KONDHWA (BK),6187,70011,43.68,F,TYPE A,SC,MUMBAI,NA,NA,48.67,GSCO,9400,ROUND 1,NO,ENTC,INDIAN
4732,11,SINHGAD KONDHWA (BK),6187,73505,41.39,M,TYPE A,SC,BAMU,NA,NA,58.17,GSCO,9400,ROUND 1,NO,ENTC,INDIAN
4733,12,SINHGAD KONDHWA (BK),6187,95149,20.09,F,TYPE A,SBC,PUNE,NA,NA,46.83,LOBCH,9400,ROUND 1,NO,ENTC,INDIAN
4734,13,SINHGAD KONDHWA (BK),6187,57437,51.58,F,TYPE A,OBC,SOLAPUR,NA,NA,66.33,LOBCO,47000,ROUND 1,NO,ENTC,INDIAN
4735,14,SINHGAD KONDHWA (BK),6187,62486,48.51,F,TYPE A,OPEN,PUNE,NA,NA,64.33,LOPENH,94000,ROUND 1,NO,ENTC,INDIAN
4736,15,SINHGAD KONDHWA (BK),6187,73406,41.48,F,TYPE A,OPEN,PUNE,NA,NA,50.67,LOPENH,94000,ROUND 1,NO,ENTC,INDIAN
4737,16,SINHGAD KONDHWA (BK),6187,49220,56.66,F,TYPE A,OPEN,SHIVAJI,NA,NA,69.17,LOPENO,94000,ROUND 1,NO,ENTC,INDIAN
4738,17,SINHGAD KONDHWA (BK),6187,34401,436065,M,OMS,NA,OHU,NA,NA,57,AI,94000,ROUND 2,NO,ENTC,INDIAN
4739,18,SINHGAD KONDHWA (BK),6187,36849,464342,M,OMS,NA,OHU,NA,NA,76.67,AI,94000,ROUND 2,NO,ENTC,INDIAN
4740,19,SINHGAD KONDHWA (BK),6187,41287,516427,M,TYPE A,OPEN,PUNE,NA,NA,68.33,AI,94000,ROUND 2,NO,ENTC,INDIAN
4741,20,SINHGAD KONDHWA (BK),6187,65231,46.79,M,TYPE A,OPEN,SRTMU,NA,NA,62.83,GNT2H,94000,ROUND 2,NO,ENTC,INDIAN
4742,21,SINHGAD KONDHWA (BK),6187,65867,46.43,M,TYPE A,OPEN,MUMBAI,NA,NA,64.67,GOBCH,94000,ROUND 2,NO,ENTC,INDIAN
4743,22,SINHGAD KONDHWA (BK),6187,70280,43.51,M,TYPE A,OPEN,SHIVAJI,NA,NA,59.33,GOBCH,94000,ROUND 2,NO,ENTC,INDIAN
4744,23,SINHGAD KONDHWA (BK),6187,47851,57.59,M,TYPE A,OPEN,SRTMU,NA,NA,74.33,GOBCO,94000,ROUND 2,NO,ENTC,INDIAN
4745,24,SINHGAD KONDHWA (BK),6187,49311,56.59,F,TYPE A,OPEN,SRTMU,NA,NA,74.67,GOBCO,94000,ROUND 2,NO,ENTC,INDIAN
4746,25,SINHGAD KONDHWA (BK),6187,55951,52.41,M,TYPE A,OPEN,AMRAVATI,NA,NA,67.67,GOPENH,94000,ROUND 2,NO,ENTC,INDIAN
4747,26,SINHGAD KONDHWA (BK),6187,60298,49.88,M,TYPE A,OPEN,SRTMU,NA,NA,57,GOPENH,94000,ROUND 2,NO,ENTC,INDIAN
4748,27,SINHGAD KONDHWA (BK),6187,75136,40.32,M,TYPE C,OPEN,PUNE,NA,DEF3,62.33,GOPENH,94000,ROUND 2,NO,ENTC,INDIAN
4749,28,SINHGAD KONDHWA (BK),6187,40228,62.84,M,TYPE A,OPEN,SRTMU,NA,NA,62.33,GOPENO,94000,ROUND 2,NO,ENTC,INDIAN
4750,29,SINHGAD KONDHWA (BK),6187,74087,42.06,F,TYPE A,OPEN,AMRAVATI,NA,NA,65.17,GSCH,94000,ROUND 2,NO,ENTC,INDIAN
4751,30,SINHGAD KONDHWA (BK),6187,96339,16.77,M,TYPE A,SC,SRTMU,NA,NA,49.17,GSCH,9400,ROUND 2,NO,ENTC,INDIAN
4752,31,SINHGAD KONDHWA (BK),6187,74254,40.93,M,TYPE A,OPEN,SRTMU,NA,NA,62.5,GSTH,94000,ROUND 2,NO,ENTC,INDIAN
4753,32,SINHGAD KONDHWA (BK),6187,77339,38.74,M,TYPE A,OPEN,SOLAPUR,NA,NA,60.17,GVJH,94000,ROUND 2,NO,ENTC,INDIAN
4754,33,SINHGAD KONDHWA (BK),6187,72729,41.9,F,TYPE A,OPEN,SRTMU,NA,DEF2,57,LSCH,94000,ROUND 2,NO,ENTC,INDIAN
4755,34,SINHGAD KONDHWA (BK),6187,81908,35.43,F,TYPE A,OPEN,SRTMU,NA,NA,66.5,PHCH,94000,ROUND 2,NO,ENTC,INDIAN
4756,1,SINHGAD KONDHWA (BK),6187,84,39.04,M,TYPE A,OBC,PUNE,NA,NA,48.83,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4757,2,SINHGAD KONDHWA (BK),6187,99,28.86,M,TYPE A,OPEN,PUNE,NA,NA,58.33,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4758,3,SINHGAD KONDHWA (BK),6187,148,71.81,M,OMS,OPEN,OHU,NA,NA,73.33,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4759,4,SINHGAD KONDHWA (BK),6187,149,68.96,M,OMS,OPEN,OHU,NA,NA,70.33,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4760,5,SINHGAD KONDHWA (BK),6187,157,60.59,M,OMS,OPEN,OHU,NA,NA,62,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4761,6,SINHGAD KONDHWA (BK),6187,170,48.53,M,OMS,OPEN,OHU,NA,NA,57.33,ACAP,0,INSTITUTE LEVEL,NO,ENTC,INDIAN
4762,7,SINHGAD KONDHWA (BK),6187,173,43.34,M,OMS,OPEN,OHU,NA,NA,69,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4763,8,SINHGAD KONDHWA (BK),6187,178,26.42,M,OMS,OPEN,OHU,NA,NA,57,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4764,9,SINHGAD KONDHWA (BK),6187,114,73.54,M,TYPE A,OPEN,PUNE,NA,NA,69.33,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4765,10,SINHGAD KONDHWA (BK),6187,118,67.85,F,TYPE A,OPEN,PUNE,NA,NA,54.33,ACAP,0,INSTITUTE LEVEL,NO,ENTC,INDIAN
4766,11,SINHGAD KONDHWA (BK),6187,187,75.33,M,OMS,OPEN,OHU,NA,NA,78,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4767,12,SINHGAD KONDHWA (BK),6187,189,71.2,M,OMS,OPEN,OHU,NA,NA,62.67,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4768,13,SINHGAD KONDHWA (BK),6187,197,63.33,M,OMS,OPEN,OHU,NA,NA,64,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4769,14,SINHGAD KONDHWA (BK),6187,199,58.92,M,OMS,OPEN,OHU,NA,NA,52.67,ACAP,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4770,1,SINHGAD KONDHWA (BK),6187,19,59.09,M,TYPE A,OPEN,PUNE,NA,DEF1,51.17,IL,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4771,2,SINHGAD KONDHWA (BK),6187,46,45.91,M,TYPE A,OPEN,PUNE,NA,NA,54,IL,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4772,3,SINHGAD KONDHWA (BK),6187,62,32.49,M,TYPE A,OPEN,MUMBAI,NA,NA,57.33,IL,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4773,4,SINHGAD KONDHWA (BK),6187,65,30.76,M,TYPE A,OPEN,MUMBAI,NA,NA,49.67,IL,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4774,5,SINHGAD KONDHWA (BK),6187,66,29.29,M,TYPE A,OPEN,PUNE,NA,NA,52,IL,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4775,6,SINHGAD KONDHWA (BK),6187,68,24.05,M,TYPE A,OPEN,PUNE,NA,NA,51,IL,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4776,7,SINHGAD KONDHWA (BK),6187,78,54.9,M,OMS,OPEN,OHU,NA,NA,63.67,IL,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4777,8,SINHGAD KONDHWA (BK),6187,177,36.49,F,OMS,OPEN,OHU,NA,NA,63.67,IL,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4778,9,SINHGAD KONDHWA (BK),6187,181,24.9,M,OMS,OPEN,OHU,NA,NA,55.33,IL,0,INSTITUTE LEVEL,NO,ENTC,INDIAN
4779,10,SINHGAD KONDHWA (BK),6187,186,84,M,OMS,OPEN,OHU,NA,NA,85,IL,0,INSTITUTE LEVEL,NO,ENTC,INDIAN
4780,11,SINHGAD KONDHWA (BK),6187,205,88.2,F,OMS,OPEN,OHU,NA,NA,88.2,IL,94000,INSTITUTE LEVEL,NO,ENTC,INDIAN
4781,1,SINHGAD KONDHWA (BK),6187,15776,199197,M,TYPE B,OPEN,NAGPUR,NA,NA,85,AI,94000,ROUND 1,NO,MECHANICAL,INDIAN
4782,2,SINHGAD KONDHWA (BK),6187,17883,227075,M,TYPE A,OPEN,SHIVAJI,NA,NA,82.83,AI,47000,ROUND 1,NO,MECHANICAL,INDIAN
4783,3,SINHGAD KONDHWA (BK),6187,18071,229657,M,TYPE A,OBC,NAGPUR,NA,NA,82.67,AI,47000,ROUND 1,NO,MECHANICAL,INDIAN
